time_taken,net_power
24.298,-861.45
23.948,-731.32
23.98,-828.29
24.265,-617.07
23.988,-516.09
24.276,-332.58
24.713,-507.31
24.322,-543.95
25.296,-665.6
25.517,-769.98
25.442,-529.21
25.54,-1025.1
25.769,-528.77
25.475,-1979
25.586,-1302
25.472,-299.81
25.387,-409.43
25.06,-110.09
24.1,-548.62
23.446,-824.03
23.386,-770.6
23.473,-280.03
23.519,-454.2
22.607,-462.52
24.33,-469.02
24.34,-536.13
22.861,-389.74
20.22,-328.06
20.887,-412.58
24.489,-426.83
24.309,-387.14
24.312,-417.8
24.308,-364.82
24.305,-406.37
24.33,-611.81
24.327,-562.74
24.668,-504.04
24.462,-572.9
25.489,-639.86
25.466,-564.97
25.465,-387.38
25.513,-483.53
25.502,-467.28
25.505,-406.2
25.861,-328.42
25.488,-228.66
23.693,-223.07
19.077,-51.033
18.274,-379.2
21.495,-717.01
21.909,-644.63
23.942,-510.81
24.259,-458.86
23.93,-447.66
23.904,-290.4
23.884,-95.879
24.227,-64.701
24.3,-322.39
24.487,-219.32
25.245,-257.25
25.598,-340.29
25.257,-336.54
25.271,-259.14
25.25,-310.77
25.238,-360.89
25.255,-509.13
24.987,-457.29
44.407,-241.13
16.161,-460.84
8.5743,-379.66
0.77565,-355.13
1.1466,-325.6
0.20677,-333.8
0.45422,-333.86
0.79231,-337.57
0.74527,-325.52
180,102.78
180,104.18
180,106.12
180,108.32
180,110.31
180,112.11
180,114.67
180,117.6
180,120
180,122.59
1.1637,-206.45
3.449,-205.34
1.3911,-296.52
16.49,-628.31
18.335,-554.59
17.338,-279.43
19.345,-411.27
19.308,-597.56
19.307,-618.75
20.279,-484.59
24.633,-380.83
25.06,-112.72
24.159,-283.82
22.868,-305.98
23.24,-243.91
25.136,-426.49
25.164,-394.77
25.167,-403.5
25.515,-375.96
25.172,-359
25.162,-383.45
25.165,-361.19
25.154,-386.45
25.179,-542.47
25.171,-513.53
25.216,-544.69
25.171,-1131.1
25.526,-377.53
25.14,-75.571
25.121,-438.34
23.632,-470.92
21.775,-371.34
21.392,-476.51
21.067,-334.51
19.715,-411.22
23.65,-333.93
25.521,-117.03
25.141,36.522
25.16,-92.799
25.16,-156.5
25.148,-240.92
25.168,-341.66
25.156,-362.7
25.152,-653.9
25.197,-655.65
25.137,-461.36
25.518,-527.78
25.168,-505.9
24.931,-509.27
24.788,-429.79
24.775,-420.66
24.768,-413.66
24.791,-363.05
24.776,-262.1
25.137,-218.69
24.756,47.902
38.079,-44.746
21.204,-286.88
20.927,-369.56
21.147,70.783
22.593,-451.99
24.833,-355.53
25.147,-227.16
24.809,-368.59
24.788,-339.23
24.801,-358.49
24.826,-500.41
24.833,-417.24
24.778,5.7265
24.803,-213.42
24.797,-273.1
24.803,-325.55
24.818,-309.05
25.172,-321.36
24.778,-371.05
24.836,-732.87
24.835,-417.95
24.8,-154.14
24.783,-128.55
24.812,-240.99
24.781,-259.65
24.828,-575.39
24.823,-615.04
24.815,-376.13
25.179,-313.56
24.807,-191.33
24.802,-264.28
24.818,-266.33
24.821,-66.521
24.771,-3.8199
24.802,-267.07
24.815,-201.92
24.805,-95.598
24.814,-278.37
